SKU_ID,SKU_Description,Category,Supplier,Unit_Cost,Unit_Price,UOM,Lead_Time_Days,Warehouse,Supplier_Clean,UOM_Clean
MM-1000,Fasteners Item 01 - Fasteners & Hardware,Fasteners & Hardware,midwest fastener co.,3.82,6.94,PCS,65,WH-OHIO,Midwest Fastener Co.,PCS
MM-1001,Fasteners Item 02 - Fasteners & Hardware,Fasteners & Hardware,Midwest Fastener Co.,3.86,6.59,EA,43,WH-NEVADA,Midwest Fastener Co.,EA
MM-1002,Fasteners Item 03 - Fasteners & Hardware,Fasteners & Hardware,Midwest Fastener Co.,2.83,4.93,ea.,60,WH-NEVADA,Midwest Fastener Co.,EA
MM-1003,Fasteners Item 04 - Fasteners & Hardware,Fasteners & Hardware,Midwest Fastener Co.,2.56,5.13,box,52,WH-OHIO,Midwest Fastener Co.,BOX
MM-1004,Fasteners Item 05 - Fasteners & Hardware,Fasteners & Hardware,Midwest Fastener Co.,3.55,6.83,EA,49,WH-OHIO,Midwest Fastener Co.,EA
MM-1005,Bearings Item 01 - Bearings & Bushings,Bearings & Bushings,Precision Bearing Supply,3.02,4.89,pcs,95,WH-OHIO,Precision Bearing Supply,PCS
MM-1006,Bearings Item 02 - Bearings & Bushings,Bearings & Bushings,Precision Bearing Supply,3.9,6.75,ea.,126,WH-TEXAS,Precision Bearing Supply,EA
MM-1007,Bearings Item 03 - Bearings & Bushings,Bearings & Bushings,PRECISION BEARING SUPPLY,3.36,4.96,pcs,128,WH-TEXAS,Precision Bearing Supply,PCS
MM-1008,Bearings Item 04 - Bearings & Bushings,Bearings & Bushings,Precision Bearing Supply,5.13,7.78,pcs,164,WH-OHIO,Precision Bearing Supply,PCS
MM-1009,Bearings Item 05 - Bearings & Bushings,Bearings & Bushings,Precision Bearing Supply,5.45,8.96,each,141,WH-OHIO,Precision Bearing Supply,EA
MM-1010,Electric Motors Item 01 - Electric Motors & Drives,Electric Motors & Drives,Torque Dynamics LLC,13.08,27.85,ea.,32,WH-TEXAS,Torque Dynamics Llc,EA
MM-1011,Electric Motors Item 02 - Electric Motors & Drives,Electric Motors & Drives,Torque Dynamics LLC,15.22,32.01,Each,52,WH-NEVADA,Torque Dynamics Llc,EA
MM-1012,Electric Motors Item 03 - Electric Motors & Drives,Electric Motors & Drives,Torque Dynamics LLC,17.6,34.86,EA,39,WH-OHIO,Torque Dynamics Llc,EA
